,chart_date_sales,artist,song_title,peak_position_sales,chart_weeks_sales,main_artist,search_title
0,2012-10-06,Psy,Gangnam Style,1,32,Psy,Gangnam Style
1,2013-05-04,Psy,Gentleman,20,4,Psy,Gentleman
2,2017-10-07,BTS,DNA,37,1,BTS,DNA
3,2017-12-16,BTS feat. Desiigner,MIC Drop (Steve Aoki remix),4,1,BTS ,MIC Drop 
4,2018-06-02,BTS,Fake Love,1,2,BTS,Fake Love
5,2018-09-08,BTS feat. Nicki Minaj,Idol,1,1,BTS ,Idol
6,2018-11-03,Steve Aoki feat. BTS,Waste It on Me,14,2,Steve Aoki ,Waste It on Me
7,2018-11-03,Dua Lipa & Blackpink,Kiss and Make Up,18,1,Dua Lipa ,Kiss and Make Up
8,2018-11-17,"K/DA: (G)I-dle's Miyeon & Soyeon, Madison Beer & Jaira Burns",Pop/Stars,30,1,K/DA: I-dle's Miyeon ,Pop/Stars
9,2018-11-24,BTS,2! 3!,47,1,BTS,2! 3!
10,2019-04-20,Blackpink,Kill This Love,39,2,Blackpink,Kill This Love
11,2019-04-27,BTS feat. Halsey,Boy with Luv,3,3 (R) 4,BTS ,Boy with Luv
12,2019-04-27,BTS,Make It Right,13,1 (R) 4,BTS,Make It Right
13,2019-04-28,BTS feat. Lauv,Make It Right remix,8,,BTS ,Make It Right remix
14,2019-04-27,BTS,Mikrokosmos,19,1,BTS,Mikrokosmos
15,2019-04-27,BTS,Home,21,1,BTS,Home
16,2019-04-27,BTS,Dionysus,28,1 (R) 2,BTS,Dionysus
17,2019-04-27,BTS,Jamais Vu,32,1 (R) 2,BTS,Jamais Vu
18,2019-04-27,BTS,Intro: Persona,34,1 (R) 2,BTS,Intro: Persona
19,2019-06-22,BTS and Charli XCX,Dream Glow,10,1,BTS ,Dream Glow
20,2019-06-29,BTS and Zara Larsson,A Brand New Day,25,1,BTS ,A Brand New Day
21,2019-07-06,BTS and Juice Wrld,All Night,19,1,BTS ,All Night
22,2019-07-13,BTS,Heartbeat,16,1,BTS,Heartbeat
